
===== backside_reject: 43 rows -> 10 first-rejects (33 repeats) =====
  2026-08-11 PLAG   @2.8298   off(15:30) +124.4%  eod +140.7%  $ +87.08  reclaimed=True  [hidden_entry]
  2026-08-11 MSGY   @4.145    off(15:30)  +41.9%  eod  +41.9%  $ +29.30  reclaimed=True  [hidden_entry]
  2026-08-06 WYHG   @20.12    off(15:30)  +21.6%  eod  +21.6%  $ +15.13  reclaimed=False  [hidden_entry]
  2026-08-07 WFF    @7.88     off(15:30)  +19.9%  eod  +19.9%  $ +13.95  reclaimed=False  [hidden_entry]
  2026-08-07 CELZ   @1.5301   off(15:30)  +13.1%  eod  +13.1%  $  +9.15  reclaimed=False  [ignition]
  2026-08-11 WXM    @10.5014  off(15:30)   +9.9%  eod   +9.9%  $  +6.92  reclaimed=False  [hidden_entry]
  2026-08-07 HUIZ   @2.31     off(15:30)   +6.5%  eod   +6.5%  $  +0.00  reclaimed=False  [hidden_entry]
  2026-08-06 ENSC   @0.674    off(15:30)   +5.3%  eod   +5.3%  $  +0.00  reclaimed=False  [ignition]
  2026-08-06 GAUZ   @0.71     off(15:30)   +4.2%  eod   +4.2%  $  +0.00  reclaimed=False  [hidden_entry]
  2026-08-10 AEHL   @6.35     off(15:30)   +3.1%  eod   +3.1%  $  -6.00  reclaimed=False  [hidden_entry]
  TOTAL modeled: 10 first-rejects, sum $+155.53, offers>=8%: 6/10
  reclaimed=True: n=2 sum $+116.38 median offer +124.4%
  reclaimed=False: n=8 sum $+39.15 median offer +9.9%

===== daygain_reject: 288 rows -> 106 first-rejects (182 repeats) =====
  2026-08-06 PN     @7.8      off(15:30)  +97.4%  eod  +97.4%  $ +68.21  dg=13.21  [flat_top]
  2026-08-07 XHLD   @1.84     off(15:30)  +91.8%  eod +106.5%  $ +64.29  dg=-34.52  [flat_top]
  2026-08-06 WLDS   @3.245    off(15:30)  +72.6%  eod  +72.6%  $ +50.80  dg=12.28  [flat_top]
  2026-08-10 YJ     @2.5311   off(15:30)  +65.9%  eod  +65.9%  $ +46.15  dg=-25.56  [flat_top]
  2026-08-07 AZI    @1.44     off(15:30)  +52.8%  eod  +52.8%  $ +36.94  dg=-10.0  [flat_top]
  2026-08-11 STKH   @3.1344   off(15:30)  +51.5%  eod  +51.5%  $ +36.08  dg=-27.11  [ma_pullback]
  2026-08-07 CELZ   @1.3094   off(15:30)  +48.2%  eod  +48.2%  $ +33.71  dg=13.86  [flat_top]
  2026-08-10 CLRO   @10.21    off(15:30)  +37.9%  eod  +37.9%  $ +26.55  dg=0.39  [flat_top]
  2026-08-10 STFS   @3.85     off(15:30)  +33.8%  eod  +33.8%  $ +23.64  dg=9.69  [ignition]
  2026-08-06 PPCB   @1.2      off(15:30)  +33.3%  eod  +33.3%  $ +23.33  dg=1.69  [ignition]
  2026-08-11 GRI    @1.9499   off(15:30)  +30.8%  eod  +30.8%  $ +21.54  dg=14.7  [ignition]
  2026-08-11 JWEL   @3.1461   off(15:30)  +30.0%  eod  +30.0%  $ +21.00  dg=-21.35  [flat_top]
  2026-08-11 XHLD   @2.9301   off(15:30)  +29.0%  eod  +29.0%  $ +20.30  dg=-5.78  [flat_top]
  2026-08-05 TNMG   @0.4398   off(15:30)  +27.5%  eod  +27.5%  $ +19.23  dg=-7.55  [ma_pullback]
  2026-08-11 VEEE   @11.3899  off(15:30)  +27.2%  eod  +27.2%  $ +19.05  dg=9.52  [orb]
  2026-08-11 TDIC   @2.9901   off(15:30)  +27.1%  eod  +27.1%  $ +18.96  dg=11.57  [ignition]
  2026-08-05 CDTG   @1.275    off(15:30)  +21.6%  eod  +21.6%  $ +15.09  dg=8.97  [orb]
  2026-08-05 CTXR   @0.686    off(15:30)  +21.3%  eod  +21.3%  $ +14.90  dg=10.2  [ignition]
  2026-08-10 SLGB   @0.533    off(15:30)  +20.1%  eod  +27.6%  $ +14.05  dg=-5.66  [flat_top]
  2026-08-07 BYAH   @2.94     off(15:30)  +19.0%  eod  +19.0%  $ +13.33  dg=-8.7  [ma_pullback]
  2026-08-05 NEXR   @3.33     off(15:30)  +18.9%  eod  +18.9%  $ +13.24  dg=10.63  [ignition]
  2026-08-11 WOK    @2.35     off(15:30)  +16.2%  eod  +16.2%  $ +11.32  dg=12.44  [ma_pullback]
  2026-08-05 BIYA   @3.15     off(15:30)  +15.9%  eod  +15.9%  $ +11.11  dg=10.92  [ignition]
  2026-08-11 PCLA   @7.61     off(15:30)  +15.6%  eod  +15.6%  $ +10.95  dg=-16.47  [ma_pullback]
  2026-08-11 ZJYL   @2.6905   off(15:30)  +15.2%  eod  +15.2%  $ +10.65  dg=-7.86  [ma_pullback]
  2026-08-07 PAVS   @5.5      off(15:30)  +14.2%  eod  +14.2%  $  +9.93  dg=-20.06  [ignition]
  2026-08-07 WLDS   @4.32     off(15:30)  +13.9%  eod  +13.9%  $  +9.72  dg=1.89  [flat_top]
  2026-08-07 ENSC   @0.4837   off(15:30)  +13.7%  eod  +13.7%  $  +9.59  dg=-7.74  [ma_pullback]
  2026-08-05 ZJYL   @2.17     off(15:30)  +12.9%  eod  +12.9%  $  +9.03  dg=11.86  [ignition]
  2026-08-07 SUGP   @2.0      off(15:30)  +12.5%  eod  +35.0%  $  +8.75  dg=2.04  [ignition]
  2026-08-11 AUUD   @1.2176   off(15:30)  +12.4%  eod  +12.4%  $  +8.69  dg=-7.76  [flat_top]
  2026-08-06 SPHL   @2.8499   off(15:30)  +12.3%  eod  +12.3%  $  +8.60  dg=7.54  [ignition]
  2026-08-05 IPW    @0.51     off(15:30)  +11.8%  eod  +11.8%  $  +8.24  dg=-8.93  [flat_top]
  2026-08-10 ASTC   @9.87     off(15:30)  +11.6%  eod  +11.6%  $  +8.09  dg=11.15  [ignition]
  2026-08-10 MB     @6.22     off(15:30)  +11.1%  eod  +11.1%  $  +7.76  dg=-30.27  [ma_pullback]
  2026-08-06 AQB    @1.1      off(15:30)  +10.9%  eod  +92.7%  $  +7.64  dg=11.12  [ignition]
  2026-08-07 GLXG   @1.105    off(15:30)  +10.3%  eod  +10.3%  $  +7.22  dg=7.28  [ignition]
