
===== A STATIC (current machine intent: bar-low dip to OR-high + curl) =====
n=99  meanR +0.507  medianR +0.755  win% 57.6
ticker   day     move%       R
BGDE     07-21     5.8  +16.25
HUHU     07-20    11.8   +8.00
LVLU     07-20    34.6   +3.96
CTOR     07-21    24.2   +2.24
HODO     07-20    19.8   +2.02
ARMP     07-20    12.7   +1.88
STFS     07-21    13.1   +1.74
TRNR     07-20     7.6   +1.73
IQMX     07-21     4.1   +1.62
VCIG     07-21    35.9   +1.62
GRDX     07-21    15.3   +1.61
AEHL     07-21    12.5   +1.56
CRIS     07-21    11.3   +1.54
CDTG     07-20    14.8   +1.50
CIIT     07-20    12.9   +1.49
SVRE     07-21    11.7   +1.49
KITT     07-20     9.1   +1.40
JTAI     07-20    21.8   +1.39
IPW      07-21    57.4   +1.27
GMM      07-20    68.7   +1.27
RMTI     07-20     1.9   +1.26
BANL     07-21    24.3   +1.26
SMX      07-21    19.8   +1.23
LVWR     07-20    25.0   +1.22
NIKI     07-21    29.0   +1.17
AIXI     07-21    11.7   +1.17
VIDA     07-21    19.1   +1.16
DFNS     07-21   106.4   +1.11
XELB     07-20    14.6   +1.10
NAKA     07-21     9.2   +1.10
OCC      07-21     8.3   +1.10
DXF      07-21    31.1   +1.09
BYAH     07-20    22.4   +1.09
AGPU     07-20    29.3   +1.07
PSQH     07-20    16.6   +1.03
CCTG     07-20    14.4   +1.02
FTFT     07-21    12.5   +1.01
TTRX     07-20     9.2   +1.01
AIHS     07-20    30.3   +1.00
GREE     07-21    39.9   +1.00
VIVK     07-21    55.3   +1.00
FLYX     07-20     9.8   +0.98
AZI      07-20    16.4   +0.97
INBS     07-20     5.6   +0.96
FTRK     07-20     8.5   +0.95
RDGT     07-20     6.7   +0.92
BNRG     07-21     9.2   +0.84
ZYBT     07-20   551.2   +0.80
YHC      07-20     8.9   +0.80
CCTG     07-21    25.0   +0.75
PFSA     07-20    17.9   +0.67
FRNM     07-21    21.5   +0.65
KSCP     07-21     8.4   +0.65
YYGH     07-21    13.9   +0.50
RPT      07-21     6.7   +0.33
CHR      07-21    11.2   +0.17
GOAI     07-20    18.6   +0.10
VRAX     07-20    10.8   +0.00
SLSN     07-21    14.7   -0.04
CVKD     07-21    11.5   -0.64
ACOG     07-20     1.4   -1.00
BXBL     07-20     9.0   -1.00
CDT      07-20    17.6   -1.00
CJMB     07-20    12.3   -1.00
CPHI     07-20    12.4   -1.00
CPIX     07-20     7.3   -1.00
DAIC     07-20    13.4   -1.00
DSC      07-20    11.4   -1.00
EROC     07-20     9.1   -1.00
FRMM     07-20    10.1   -1.00
HIHO     07-20    19.6   -1.00
INEO     07-20     9.3   -1.00
KTTA     07-20    10.2   -1.00
NAKA     07-20    11.0   -1.00
NVVE     07-20    28.4   -1.00
PMN      07-20    11.8   -1.00
QNTM     07-20     2.5   -1.00
RPGL     07-20    15.8   -1.00
SMX      07-20    11.2   -1.00
SNAL     07-20     6.7   -1.00
TRUG     07-20    10.8   -1.00
WBUY     07-20    10.2   -1.00
AGPU     07-21    11.1   -1.00
DAIC     07-21    24.7   -1.00
EROC     07-21    15.5   -1.00
IMNN     07-21    12.8   -1.00
JZ       07-21     9.8   -1.00
LMFA     07-21    10.2   -1.00
